Partners,Player_1,Player_2,Span,Inns,NO,Runs,High,Ave,Fifties,Hundreds
"MS Dhoni, RA Jadeja",MS Dhoni, RA Jadeja,2012-2025,68,16,1708,72,32.84,11,0
"MS Dhoni, SK Raina",MS Dhoni, SK Raina,2008-2021,55,6,1482,74,30.24,10,0
"MEK Hussey, M Vijay",MEK Hussey, M Vijay,2011-2013,35,1,1367,159,40.2,11,2
"DP Conway, RD Gaikwad",DP Conway, RD Gaikwad,2022-2025,24,0,1215,182,50.62,6,4
"MEK Hussey, SK Raina",MEK Hussey, SK Raina,2008-2015,29,1,1168,140*,41.71,7,3
"F du Plessis, SK Raina",F du Plessis, SK Raina,2012-2021,34,0,1056,120,31.05,6,1
"BB McCullum, DR Smith",BB McCullum, DR Smith,2014-2015,25,0,922,123,36.88,5,2
"F du Plessis, RD Gaikwad",F du Plessis, RD Gaikwad,2020-2021,21,0,894,129,42.57,6,2
"F du Plessis, SR Watson",F du Plessis, SR Watson,2018-2020,22,1,846,181*,40.28,4,2
"S Badrinath, SK Raina",S Badrinath, SK Raina,2008-2013,24,2,820,142*,37.27,7,1
"DJ Bravo, MS Dhoni",DJ Bravo, MS Dhoni,2011-2022,35,14,818,91*,38.95,3,0
"MS Dhoni, AT Rayudu",MS Dhoni, AT Rayudu,2018-2023,20,5,812,101,54.13,7,1
"AT Rayudu, SR Watson",AT Rayudu, SR Watson,2018-2020,20,1,748,134,39.36,5,1
"SK Raina, M Vijay",SK Raina, M Vijay,2010-2019,27,3,713,137*,29.7,3,1
"S Badrinath, MS Dhoni",S Badrinath, MS Dhoni,2008-2013,16,2,671,109*,47.92,6,1
"SK Raina, DR Smith",SK Raina, DR Smith,2014-2015,19,0,645,86,33.94,5,0
"MS Dhoni, F du Plessis",MS Dhoni, F du Plessis,2012-2021,23,2,602,75*,28.66,3,0
"SK Raina, SR Watson",SK Raina, SR Watson,2018-2019,12,0,546,117,45.5,4,1
"SK Raina, AT Rayudu",SK Raina, AT Rayudu,2018-2021,17,0,537,112,31.58,2,1
"ML Hayden, PA Patel",ML Hayden, PA Patel,2008-2010,15,0,496,106,33.06,4,1
"ML Hayden, SK Raina",ML Hayden, SK Raina,2008-2010,14,0,492,104,35.14,3,1
"MS Dhoni, ML Hayden",MS Dhoni, ML Hayden,2008-2010,8,2,476,100,79.33,4,1
"ML Hayden, M Vijay",ML Hayden, M Vijay,2009-2010,16,0,475,62,29.68,3,0
"RD Gaikwad, AT Rayudu",RD Gaikwad, AT Rayudu,2020-2023,11,3,468,92,58.5,5,0
"S Dube, RD Gaikwad",S Dube, RD Gaikwad,2022-2025,12,0,467,104,38.91,2,1
"S Dube, RA Jadeja",S Dube, RA Jadeja,2022-2025,19,3,462,79,28.87,3,0
"MS Dhoni, JA Morkel",MS Dhoni, JA Morkel,2008-2013,23,9,460,47*,32.85,0,0
"BB McCullum, SK Raina",BB McCullum, SK Raina,2014-2015,11,0,442,70,40.18,5,0
"DP Conway, S Dube",DP Conway, S Dube,2022-2025,11,0,417,89,37.9,4,0
"MS Dhoni, MEK Hussey",MS Dhoni, MEK Hussey,2008-2015,11,0,400,95,36.36,4,0
"MM Ali, F du Plessis",MM Ali, F du Plessis,2021-2021,10,0,398,108,39.8,3,1
"RA Jadeja, AT Rayudu",RA Jadeja, AT Rayudu,2018-2023,14,4,382,102*,38.2,2,1
"S Badrinath, MEK Hussey",S Badrinath, MEK Hussey,2008-2013,10,2,352,94,44,3,0
"DJ Bravo, RA Jadeja",DJ Bravo, RA Jadeja,2012-2022,19,8,338,57,30.72,1,0
"RD Gaikwad, AM Rahane",RD Gaikwad, AM Rahane,2023-2024,11,0,325,82,29.54,2,0
"RD Gaikwad, DJ Mitchell",RD Gaikwad, DJ Mitchell,2024-2024,6,0,322,107,53.66,2,1
"RD Gaikwad, R Ravindra",RD Gaikwad, R Ravindra,2024-2025,10,0,306,67,30.6,3,0
"MS Dhoni, S Dube",MS Dhoni, S Dube,2022-2025,14,6,301,62,37.62,2,0
"DP Conway, AM Rahane",DP Conway, AM Rahane,2023-2023,7,0,297,74,42.42,2,0
