Winner,Result,Margin,BR,col5,Match,Ground,Start Date,Scorecard
CSK,won,33 runs,,,Kings XI v CSK,Mohali,19-Apr-08,Scorecard
CSK,won,6 runs,,,CSK v MI,Chennai,23-Apr-08,Scorecard
CSK,won,9 wickets,18,,CSK v KKR,Chennai,26-Apr-08,Scorecard
CSK,won,13 runs,,,RCB v CSK,Bengaluru,28-Apr-08,Scorecard
Daredevils,won,8 wickets,6,,CSK v Daredevils,Chennai,02-May-08,Scorecard
RR,won,8 wickets,34,,RR v CSK,Jaipur,04-May-08,Scorecard
Chargers,won,7 wickets,12,,CSK v Chargers,Chennai,06-May-08,Scorecard
CSK,won,4 wickets,0,,Daredevils v CSK,Delhi,08-May-08,Scorecard
CSK,won,18 runs,,,CSK v Kings XI,Chennai,10-May-08,Scorecard
MI,won,9 wickets,37,,MI v CSK,Wankhede,14-May-08,Scorecard
CSK,won,3 runs,,,KKR v CSK,Eden Gardens,18-May-08,Scorecard
RCB,won,14 runs,,,CSK v RCB,Chennai,21-May-08,Scorecard
RR,won,10 runs,,,CSK v RR,Chennai,24-May-08,Scorecard
CSK,won,7 wickets,4,,Chargers v CSK,Hyderabad,27-May-08,Scorecard
CSK,won,9 wickets,31,,CSK v Kings XI,Wankhede,31-May-08,Scorecard
RR,won,3 wickets,0,,CSK v RR,DY Patil,01-Jun-08,Scorecard
MI,won,19 runs,,,CSK v MI,Cape Town,18-Apr-09,Scorecard
CSK,won,92 runs,,,RCB v CSK,Gqeberha,20-Apr-09,Scorecard
Daredevils,won,9 runs,,,CSK v Daredevils,Durban,23-Apr-09,Scorecard
,aban,-,,,CSK v KKR,Cape Town,25-Apr-09,
Chargers,won,6 wickets,3,,CSK v Chargers,Durban,27-Apr-09,Scorecard
CSK,won,38 runs,,,CSK v RR,Centurion,30-Apr-09,Scorecard
CSK,won,18 runs,,,CSK v Daredevils,Johannesburg,02-May-09,Scorecard
CSK,won,78 runs,,,CSK v Chargers,East London,04-May-09,Scorecard
CSK,won,12 runs,,,CSK v Kings XI,Centurion,07-May-09,Scorecard
CSK,won,7 wickets,10,,CSK v RR,Kimberley,09-May-09,Scorecard
RCB,won,2 wickets,2,,RCB v CSK,Durban,14-May-09,Scorecard
CSK,won,7 wickets,5,,CSK v MI,Gqeberha,16-May-09,Scorecard
KKR,won,7 wickets,0,,CSK v KKR,Centurion,18-May-09,Scorecard
CSK,won,24 runs,,,CSK v Kings XI,Durban,20-May-09,Scorecard
RCB,won,6 wickets,7,,CSK v RCB,Johannesburg,23-May-09,Scorecard
Chargers,won,31 runs,,,CSK v Chargers,Chennai,14-Mar-10,Scorecard
CSK,won,55 runs,,,KKR v CSK,Eden Gardens,16-Mar-10,Scorecard
CSK,won,5 wickets,5,,Daredevils v CSK,Delhi,19-Mar-10,Scorecard
,tied,-,,,CSK v Kings XI,Chennai,21-Mar-10,Scorecard
